Sprint,Module,Feature,Feature Description,Status,Testing Status,Priority,Code Status,Remarks
Sprint 3,User Management,Users page — count cards + advanced,"Colorful API count cards (/users/stats); click-to-sort columns; verified filter; bulk ban/restore/delete/setRole; admin resend-verification; copy invite link; user detail drawer",Done,Verified (curl + build + lint),High,Done,"GET /users/stats + POST /users/bulk (excludes self) + POST /auth/resend-verification/:id + verified/sort query; reusable StatCard + Drawer + Table sort; cards click to filter"
Sprint 3,User Management,Row actions menu + Super Admin protection,"Per-row kebab menu (options were clipping in table); role change via modal not inline select; Super Admin rows protected FE+BE (no ban/delete/role-change)",Done,Verified (curl + build + lint),High,Done,"Dropdown now portaled (no overflow clip); inline role Select -> Badge + Change-role modal; assertMutable 403 on Super Admin single actions, bulk excludes them; StatCards single scrollable row; role cards merged into grid"
Sprint 2,Auth,Login,Credential login returning JWT,Done,Verified (curl + build),Critical,Done,"Redesigned split AuthLayout (SVG) + branded loader; login enforces ACTIVE status; refresh-on-401. Wrong pw -> 401"
Sprint 2,Auth,JWT access + refresh,Access (~15m) + refresh (httpOnly cookie) + rotation,Done,Verified (curl),Critical,Done,Refresh rotates + revokes old session
Sprint 2,Auth,Password hashing,bcrypt hashing,Done,Verified (curl),Critical,Done,bcrypt 10 rounds; password select:false + stripped from JSON
Sprint 2,Auth,Guards & RBAC,"JwtAuthGuard global, RolesGuard, @Public/@Roles",Done,Verified (401/403),Critical,Done,Global guards; category writes now ADMIN-only
Sprint 2,Auth,Forgot password,Request password reset email,Done,Verified (curl),High,Done,Nodemailer (dev logs link); JWT_MAIL_SECRET token; forgot page
Sprint 2,Auth,Reset password,Token-based password reset,Done,Verified (curl),High,Done,30m token; revokes all sessions on reset; reset page
Sprint 2,Auth,Email verification,Verify email via token,Done,Verified (curl),High,Done,Sent on signup; verify page; bad token -> 400
Sprint 2,Auth,Google login,OAuth via Passport,In Progress,Not run (needs creds),Medium,In Progress,Scaffolded + gated (GOOGLE_CLIENT_ID/SECRET); strategy+routes; UI link pending
Sprint 2,Auth,Profile,View/update current user,Done,Verified (curl + build),High,Done,GET /auth/me + PATCH /auth/profile; Settings page
Sprint 2,Auth,Change password,Authenticated password change,Done,Verified (curl),Medium,Done,bcrypt verify current; Settings page
Sprint 2,Auth,Sessions,List and revoke active sessions,Done,Verified (curl),Medium,Done,list + revoke one/all; userAgent captured; Settings page
Sprint 2,Auth,Logout,Revoke refresh session,Done,Verified (curl),High,Done,Clears cookie + deletes session
Sprint 3,User Management,User CRUD,Admin create/read/update/delete users,Done,Verified (curl + build),High,Done,"ADMIN only; paginated list + search/role/status filters; soft-delete (status DELETED)"
Sprint 3,User Management,Roles & permissions,Role assignment + permission checks,Done,Verified (curl + build),High,Done,"Dynamic roles collection + CRUD UI; read/write permission matrix per resource; Super Admin seed; @RequirePermission guard; invite/user-role selects use dynamic roles; sidebar gated by can()"
Sprint 3,User Management,Admin profile page,"Full-width My Profile: avatar local upload, profile fields, change password + PAGINATED login activity all inline; super admin views any admin at /profile/:id",Done,Verified (curl + build + lint),High,Done,"Consolidated the old Account/Settings page into /profile (separate Account menu removed; /settings -> /profile redirect); GET /auth/sessions now paginated ({data,meta}); avatarUrl live-updates navbar via AuthContext.updateUser; Textarea added; SettingsPage.tsx orphaned"
Sprint 3,Settings,Business Settings,"Store identity/contact/address/localization + file storage driver (local/S3) config; logo upload",Done,Verified (curl + build + lint),High,Done,"Settings singleton doc + GET/PATCH /settings (settings.read/write); s3SecretAccessKey write-only/stripped; UploadsService honors driver; sidebar Business Settings"
Sprint 3,User Management,Staff-only admin users + Permissions page,"Admin Users excludes storefront Customer role (list+stats+role pickers); sidebar 'Access control' group; /permissions reference page explaining all permissions",Done,Verified (curl + build + lint),High,Done,"CUSTOMER_ROLE constant; users.list/stats filter role != Customer; sidebar grouped (Admin Users/Roles/Permissions/Audit); PermissionsPage lists 14 areas x read/write with descriptions; PERMISSION_RESOURCES gained description field"
Sprint 3,User Management,Access-control hardening,"Route-level permission guards (403 on forbidden URL, not just hidden); role-in-use delete guard; last-Super-Admin covered",Done,Verified (curl + build + lint),High,Done,"<RequirePermission> gates routes; DELETE /roles/:id -> 409 when assigned (countByRole); Super Admin mutations already blocked so one always remains"
Sprint 2,Auth,Login security baseline,"Rate limiting (global 120/min + login 5/min) + account lockout (15 min after 5 fails) + password policy (8+ letter+number)",Done,Verified (curl + build + lint),Critical,Done,"@nestjs/throttler ThrottlerGuard + @Throttle on login/forgot; failedLoginCount/lockedUntil on user; shared PASSWORD_REGEX enforced in DTOs + client; 6th attempt 429, lock after 5"
Sprint 2,Auth,Security hardening finishers,"helmet + strict CSP; tokenVersion global kill-switch; JwtStrategy re-validates live user; audit before/after (input+result)",Done,Verified (curl + build + lint),High,Done,"helmet (CSP default-src none, HSTS, nosniff); tv in JWT checked per-request, bumped on reset + sign-out-everywhere; bans/role-change instant; AuditInterceptor stores meta.input + meta.result; P0 baseline 100%"
Sprint 3,User Management,Roles UX upgrade,"Configurable default invite role; assign-role-to-many-users; role export/import (JSON); role card actions menu",Done,Verified (curl + build + lint),High,Done,"isDefault on Role + PATCH /roles/:id/default (exactly one, seed self-heals); invite defaults to it; Assign-to-users modal -> /users/bulk; client-side JSON export + import; per-card kebab (Set default/Assign/Export/Edit/Delete); docs/17 rows marked done"
Sprint 3,User Management,Ban / Restore,Suspend/ban and restore users,Done,Verified (curl),Medium,Done,"ban/restore endpoints + UI; admin can't ban/delete self (400)"
Sprint 3,User Management,User activity,Activity log per user,Not Started,Not Started,Low,Not Started,Deferred (ActivityLog schema — Phase 27)
Sprint 3,User Management,Addresses,Multiple addresses per user,Done,Verified (curl + build + lint),Medium,Done,"User.addresses[] embedded + /storefront/account/addresses CRUD (default-address handling); managed in the storefront Account page (add/edit/delete/set-default) and reused in checkout"
Sprint 3,Customers,Admin customers list,"View storefront customers (list/stats/detail)",Done,Verified (curl + build + lint),High,Done,"modules/customers (customers.read): GET /customers (search/status/sort + per-customer orderCount/totalSpent/addressCount via order rollup by email), /customers/stats, /customers/:id (addresses + recent orders). CustomersPage: 4 StatCards + toolbar + table + detail drawer (profile/addresses/orders); sidebar Customers gated customers.read. Seeded 3 customers (password Test@123) with multi-addresses via seeds/customers.seed.json (emails match sample orders -> real order counts)"
Sprint 3,User Management,Wishlist,User wishlist,Not Started,Not Started,Medium,Not Started,Storefront feature — later sprint
Sprint 3,User Management,Recently viewed,Track recently viewed products,Not Started,Not Started,Low,Not Started,Storefront feature — later sprint
Sprint 3,Dashboard,KPI cards,"Revenue, Orders, Customers, Conversion + sparkline",Done,Verified (curl + build + lint),High,Done,"WIRED to real data via GET /dashboard/overview (new modules/dashboard, auth'd): Revenue/Orders/Customers/AOV for last 30d with % delta vs prior 30d + real sparklines from the 14-day series. (Conversion rate dropped — needs visit tracking)"
Sprint 3,Dashboard,Sales chart,Custom dual-line SVG chart,Done,Verified (build + lint),High,Done,"Real: last 14 days daily revenue vs prior 14 days (index-aligned), dynamic nice-ceil Y axis, hover tooltip. Data from /dashboard/overview salesSeries"
Sprint 3,Dashboard,Order status chart,Radial status breakdown,In Progress,Verified (curl),Medium,In Progress,"ordersByStatus returned by /dashboard/overview; not yet placed as a dedicated chart in the layout (donut slot used by category distribution)"
Sprint 3,Dashboard,Category distribution,Donut chart,Done,Verified (build + lint),Medium,Done,"Real products-by-category donut (top 6) from /dashboard/overview categoryDistribution"
Sprint 3,Dashboard,Recent orders,Recent orders table,Done,Verified (curl + build + lint),High,Done,"Real latest 6 orders (number/customer/date/amount/status) from /dashboard/overview; View All -> /orders"
Sprint 3,Dashboard,Live orders,Realtime order feed,In Progress,Verified (build + lint),Medium,In Progress,"Live Activity panel now shows the real recent-orders feed (relative time, status-based icons); true realtime socket.io push still pending"
Sprint 3,Dashboard,Top customers,Top customers list,Done,Verified (curl + build + lint),Low,Done,"Delivered as Top Products (best sellers by revenue from order line items) via /dashboard/overview topProducts; MiniStatsRow + SalesHeatmap also real now"
Sprint 4,Products,Product CRUD,Create/read/update/delete products,Done,Verified (curl + build + lint),Critical,Done,"Products module (BaseService); CRUD + /products/stats; list paginate/search/sort/category+status filters; @RequirePermission products.read/write; audited"
Sprint 4,Products,SKU / Slug / Barcode,Identifiers + unique slug,Done,Verified (curl),High,Done,"sku field + auto unique slug (slugify + assertSlugFree -> 409 on dup); barcode later"
Sprint 4,Products,SEO fields,Meta title/description,Not Started,Not Started,Medium,Not Started,
Sprint 4,Products,Media,"Thumbnail, gallery, product video",Done,Verified (curl + build + lint),High,Done,"Multi-image gallery via reusable ImageUploader -> POST /uploads/image (local/driver-aware); first image = primary, make-primary + remove; product.images[]. Video later"
Sprint 4,Products,Bulk actions,"Select many -> set status / feature / delete",Done,Verified (curl + build + lint),Medium,Done,"POST /products/bulk (delete/setStatus/feature/unfeature); checkbox select + bulk toolbar + bulk-delete confirm; setStatus without status -> 400"
Sprint 4,Products,Pricing,"Price, tax class, discount",In Progress,Verified (curl),High,In Progress,"price + compareAtPrice (was-price) shipped; tax class/discount later"
Sprint 4,Products,Attributes,"Weight, dimensions, shipping, tags, collections",Done,Verified (curl + build + lint),Medium,Done,"docs/18 stages 1-4 complete: modules/attributes (CRUD + presets + attributes.read/write) + Product Fields page; product schema gained attributes{}/options[]/variants[]; product form renders dynamic fields (typed, grouped, category-scoped) + variant options->matrix editor (per-SKU sku/price/stock); server validates attributes (required/unknown/type/select) + variant option-values. Storefront filtering DONE: attributes flagged 'filterable' in admin become storefront facets via GET /storefront/facets (docs/18 stage 5 complete)"
Sprint 4,Products,Variants,"Option combinations, per-variant SKU/price/stock",Done,Verified (curl + build + lint),High,Done,"Product.options[] + variants[]; admin options editor + Generate-variants (cartesian, merges existing) + per-variant price/stock/sku table; validated backend"
Sprint 4,Products,Product type,Physical vs digital,Not Started,Not Started,Medium,Not Started,
Sprint 4,Products,Relations,"Related, cross-sell, upsell",Not Started,Not Started,Low,Not Started,
Sprint 4,Products,Flags,"Featured, popular, trending, new arrival",In Progress,Verified (curl),Low,In Progress,"featured flag shipped (schema + form); popular/trending/new-arrival later"
Sprint 4,Products,Product list UI,Rich table: image/stock/price/status/sales/actions,Done,Verified (build + lint),High,Done,"ProductsPage (list): colorful stat cards, image thumb, stock badges, sortable cols, search + category/status filters, pagination, bulk toolbar, delete confirm; row/name -> editor"
Sprint 4,Products,Full-page product editor,"Dedicated add/edit page (not modal)",Done,Verified (build + lint),High,Done,"ProductEditorPage at /products/new + /products/:id/edit (gated products.write, wired to Add Product submenu); 2-col layout with colored section headers + helper text/info alerts; Basics/Media/Product fields/Variants on left, Status/Pricing/Inventory/Organization on right; fetchProduct(id) for edit"
Sprint 4,Categories,Category CRUD,Create/read/update/delete categories,Done,Verified (curl + build),High,Done,"Full-stack: NestJS module + Axios/React page. Reads public; writes now @Roles(ADMIN)"
Sprint 4,Categories,Nested tree,Unlimited nested categories,Done,Verified (curl),High,Done,"parent ref + GET ?tree=true (nodes carry productCount + children); delete reparents children AND moves products up to parent"
Sprint 4,Categories,Tree view + reorder,Expand/collapse tree + sibling ordering,Done,Verified (curl + build + lint),Medium,Done,"CategoriesPage redesigned to brands/vendors quality: header + 4 StatCards (total/top-level/active/products) + toolbar (search filter with ancestor-keeping, status filter, expand/collapse-all); polished tree rows (thumbnail w/ tone fallback, slug, product/sub counts, SEO chip, status badge, hover actions). Create/edit uses a side Drawer (CategoryEditorDrawer) matching Brands/Vendors — name/slug/parent(cycle-safe)/image/description/SEO/active. PATCH /categories/:id/move swaps sibling sortOrder; cycle guard; reorder disabled while filtering"
Sprint 4,Categories,Category SEO/media,"Banner, image, SEO",Done,Verified (curl + build + lint),Low,Done,"Image upload (ImageUploader) + metaTitle/metaDescription in the form; seeds/categories.seed.json rebuilt as a 16-node tree (6 parents + 10 leaves) with parentSlug, image, SEO for every node; seed-dressing resolves parentSlug->parent id (parents seeded first). Verified via /categories?tree=true"
Sprint 4,Categories,Product counts,Show product count per category,Done,Verified (curl),Low,Done,"Aggregated in tree/list responses; badge in tree UI"
Sprint 4,Categories,Status,Active/inactive,Done,Verified (build),Low,Done,isActive toggle + badge
Sprint 5,Brands,Brand CRUD,"Logo, banner, description, SEO",Done,Verified (curl + build + lint),Medium,Done,"Full-stack: Brands module (/brands, /brands/stats, auto-slugs) + BrandCard grid + BrandEditorDrawer + product editor integration"
Sprint 5,Vendors,Vendor CRUD,"Supplier code, commission rate, status, contact info",Done,Verified (curl + build + lint),High,Done,"Full-stack: Vendors module (/vendors, /vendors/stats, unique code) + Vendor table + VendorEditorDrawer + product editor integration"
Sprint 5,Variants,Variant options,Size/color/storage/material/flavor/pack,Done,Verified (curl + build + lint),High,Done,"Delivered in Sprint 4 (docs/18): Product.options[] + variants[] matrix editor"
Sprint 5,Variants,Variant matrix,Per-combination SKU/price/stock/barcode/weight,Done,Verified (curl + build + lint),High,Done,"Delivered in Sprint 4 (docs/18): per-combination SKU/price/stock matrix"
Sprint 5,Variants,Variant images,Images per variant,Not Started,Not Started,Medium,Not Started,
Sprint 5,Inventory,Stock tracking,Per-variant stock levels,Done,Verified (curl + build + lint),High,Done,"InventoryRecord (per variantSku+warehouse) + /inventory & /inventory/stats + StockPage FE (stat cards, warehouse/status filters, table, adjust modal). Now SEEDED: 360 records across 4 warehouses (varied on-hand -> IN/LOW/OUT). Variant SKUs made globally unique (NOVA-##-SIZE-COLOR)"
Sprint 5,Inventory,Warehouses,Multiple warehouses,Done,Verified (curl + build + lint),High,Done,"WarehousesModule (/inventory/warehouses) + GET /inventory/warehouses/stats + per-warehouse itemCount/totalOnHand in list + setPrimary + stock-aware delete guard (blocks if units>0). WarehousesPage rebuilt to Vendors quality: 4 StatCards + toolbar + shared Table + pagination + drawer. Seeded 4 warehouses (WH-MAIN primary, North, West, South inactive)"
Sprint 5,Inventory,Stock adjustments,Purchase/transfer/damage/adjustment,Done,Verified (curl + build + lint),High,Done,"POST /inventory/adjust & POST /inventory/transfer + StockAdjustmentModal FE for restock/damage/transfers"
Sprint 5,Inventory,Low-stock alerts,Threshold-based alerts,Done,Verified (curl + build + lint),High,Done,"GET /inventory/low + LowStockPage rebuilt with 4 StatCards (low/out/on-hand/reserved), warehouse filter, table + restock modal; sidebar hardcoded '7' badge removed"
Sprint 5,Inventory,Stock history,Transaction ledger + audit,Done,Verified (curl + build + lint),High,Done,"StockAdjustment ledger schema + GET /inventory/ledger + StockLedgerDrawer FE timeline panel per SKU"
Sprint 6,Coupons,Coupon types,Percentage / flat / free-shipping / BXGY / Tiered,Done,Verified (curl + build + lint),High,Done,"DiscountType enum (PERCENTAGE, FIXED_AMOUNT, FREE_SHIPPING, BUY_X_GET_Y, TIERED) + DiscountsModule + DiscountsPage FE"
Sprint 6,Coupons,Rules,"Min purchase, max discount, expiry, auto-apply, stackable",Done,Verified (curl + build + lint),High,Done,"DiscountsService validation rules (min purchase, max discount cap, start/end dates, auto-apply, stackability, 1st order only)"
Sprint 6,Coupons,Usage limits,"Global cap, per-user limit, usage tracking",Done,Verified (curl + build + lint),Medium,Done,"CouponRedemption ledger schema + global redemption cap + per-user usage limits + BatchGeneratorModal tool"
Sprint 6,Coupons,Validate endpoint,Storefront coupon validation,Done,Verified (curl + build + lint),High,Done,"POST /discounts/validate public endpoint checking date windows, subtotals, caps, limits & return discount amounts"
Sprint 6,Cart,Guest cart,Session-based cart,Done,Verified (curl + build + lint),High,Done,"Cart schema with guestId + 30-day TTL index + GET /cart with x-guest-id header + getGuestId() localStorage helper"
Sprint 6,Cart,User cart,Persisted user cart + merge on login,Done,Verified (curl + build + lint),High,Done,"Cart schema with userId + CartProvider auto-merges guestId cart into user cart on login via POST /cart/merge"
Sprint 6,Cart,Cart items,"Add/update/remove, quantity",Done,Verified (curl + build + lint),Critical,Done,"POST /cart/items (stock-checked add), PATCH /cart/items/:id (qty+savedForLater), DELETE /cart/items/:id + CartDrawer slide-over + CartPage item list"
Sprint 6,Cart,Coupon apply,Apply coupon to cart,Done,Verified (curl + build + lint),High,Done,"POST /cart/coupon calls DiscountsService.validateCoupon, attaches appliedCoupon, auto-revalidates on every save. CartPage promo code input."
Sprint 6,Cart,Save for later,Move items to saved list,Done,Verified (curl + build + lint),Low,Done,"isSavedForLater boolean per CartItem; active items computed in totals only; CartPage Save for Later section + Move to Cart"
Sprint 6,Cart,Gift wrap & notes,Cart-level options,Done,Verified (curl + build + lint),Low,Done,"isGiftWrap (+$5 fee) + deliveryNotes via POST /cart/options; CartPage gift options section"
Sprint 6,Cart,Totals,Subtotal/discount/shipping/tax/total (server-computed),Done,Verified (curl + build + lint),High,Done,"cart-calculator.util.ts: subtotal(active items) - coupon discount + gift wrap $5 + shipping $10 (free>=100 or FREE_SHIPPING) + 8% tax; CartPage Order Summary card"
Sprint 7,Checkout,Address step,Shipping/billing address selection,Done,Verified (curl + build + lint),High,Done,"Storefront checkout: signed-in customers pick a saved address or add one (AddressPicker -> persists to account); guests type a one-off address. Reusable AddressForm/AddressCard components (rounded-md, no shadows)"
Sprint 7,Checkout,Delivery method,Choose shipping method,Not Started,Not Started,High,Not Started,Single free-shipping tier for now; carrier/method selection later (Sprint 8 Shipping)
Sprint 7,Checkout,Checkout quote,Compute order totals pre-payment,Done,Verified (curl + build + lint),High,Done,"Totals computed server-side in OrdersService.create from resolved product/variant prices (subtotal = total; free shipping); cart + checkout + confirmation all agree"
Sprint 7,Checkout,Review & place order,Review cart + create order,Done,Verified (curl + build + lint),Critical,Done,"Checkout review (contact + address + payment + order summary) -> POST /storefront/checkout -> order created + cart cleared -> confirmation page. Verified end-to-end (NOVA-1010)"
Sprint 7,Orders,Admin Orders (list/stats/detail),"Orders module + admin UI (built early)",Done,Verified (curl + build + lint),Critical,Done,"Order schema (customer snapshot, items, totals, timeline); GET /orders (paginate/search/status+payment filters/sort) + /orders/stats (revenue/avg/by-status); OrdersPage stat cards + filters + table + detail Drawer; 6 sample orders seeded so dashboard is real"
Sprint 7,Orders,Order creation,Create order from checkout,Done,Verified (curl + build + lint),Critical,Done,"Admin manual create (POST /orders) + public storefront checkout (POST /storefront/checkout) both create orders via OrdersService.create (computes subtotal/discount/shipping/tax/total, generates NOVA-#### number); prices resolved server-side from products/variants — client-sent prices ignored. Verified: scarf x2 + dress[M/Sand] = subtotal 4297"
Sprint 7,Orders,Status state machine,Created to Delivered/Cancelled transitions,Done,Verified (curl + build + lint),Critical,Done,"Shared ORDER_STATUS_TRANSITIONS state machine (packages/shared) enforced in OrdersService.updateStatus (invalid transition -> 400); admin drawer shows only valid next statuses; DELIVERED auto-sets paymentStatus=PAID (COD), REFUNDED syncs too. Timeline appended per change. Verified: CREATED->DELIVERED rejected, CREATED->PACKED->SHIPPED->DELIVERED ok"
Sprint 7,Orders,Timeline,Order event timeline,Done,Verified (curl),High,Done,"Every status change appends {status,note,at}; shown in the detail drawer (newest first)"
Sprint 7,Orders,Refund,Full/partial refund,In Progress,Verified (curl + build + lint),Medium,In Progress,"Full refund via admin Returns page (RETURNED -> REFUNDED through the state machine, syncs paymentStatus=REFUNDED). Partial/amount-level refunds still pending"
Sprint 7,Orders,Returns view,Admin returns & refunds page,Done,Verified (curl + build + lint),Medium,Done,"features/orders/ReturnsPage at /orders/returns: lists RETURNED/REFUNDED orders (GET /orders?statuses=RETURNED,REFUNDED $in) with stat cards + Process-refund action. Seeder walks a couple delivered orders to RETURNED/REFUNDED (idempotent). Also fixed: order seeder now walks valid state-machine transitions (was jumping CREATED->DELIVERED)"
Sprint 7,Orders,Abandoned carts view,Admin abandoned carts page,Done,Verified (curl + build + lint),Medium,Done,"features/orders/AbandonedCartsPage at /orders/abandoned: GET /cart/admin/abandoned (orders.read; carts with items untouched >60min) + /stats (total/guest/registered/potential revenue). CartAdminController separate from the @Public cart controller; 3 sample abandoned carts seeded (raw updatedAt backdate)"
Sprint 7,Orders,Invoice,Generate invoice PDF,Not Started,Not Started,Medium,Not Started,
Sprint 7,Orders,Tracking,Shipment tracking link,Not Started,Not Started,Medium,Not Started,
Sprint 7,Orders,Order detail panel,Right context panel: customer/timeline/payment/shipment/notes,Done,Verified (build + lint),High,Done,"Slide-over Drawer: customer, items, totals breakdown, shipping address, timeline, inline status-update control"
Sprint 7,Orders,Customer order history,GET /me/orders,In Progress,Verified (curl + build + lint),High,In Progress,"Delivered as GET /storefront/account/orders + /:orderNumber (auth'd, ownership by customer.id OR email); My Orders tab in the storefront Account page. Invoice PDF still pending (see row 135 / Sprint 7 Invoice)"
Sprint 8,Payments,Stripe,Card payments via payment intent,Not Started,Not Started,High,Not Started,
Sprint 8,Payments,Razorpay,Razorpay gateway integration,Not Started,Not Started,Medium,Not Started,
Sprint 8,Payments,Cash on delivery,COD flow,Done,Verified (curl + build + lint),Medium,Done,"Full COD flow: checkout (COD selected) -> order paymentStatus PENDING -> admin marks DELIVERED -> paymentStatus auto PAID. Card/UPI shown as 'coming soon'"
Sprint 8,Payments,Wallet / UPI,Wallet balance + UPI,Not Started,Not Started,Low,Not Started,
Sprint 8,Payments,Webhooks,"Signature-verified, idempotent handlers",Not Started,Not Started,Critical,Not Started,Idempotency required
Sprint 8,Payments,Refund processing,Refund via provider API,Not Started,Not Started,Medium,Not Started,
Sprint 8,Shipping,Shipping methods,Carriers + base/per-kg rates,Not Started,Not Started,High,Not Started,
Sprint 8,Shipping,Charge calculation,Weight-based charge calc,Not Started,Not Started,Medium,Not Started,
Sprint 8,Shipping,Tracking,Track by tracking number,Not Started,Not Started,Medium,Not Started,
Sprint 8,Shipping,Delivery estimate,ETA calculation,Not Started,Not Started,Low,Not Started,
Sprint 9,Storefront,App scaffold,Separate Vite storefront app in monorepo,Done,Verified (build + lint),Critical,Done,"New storefront/ workspace (Vite+React+TS+Tailwind, port 5175, shared design tokens, own lib/api unwrapping {data,meta}); root workspaces + build script + dev:shop; CLIENT_ORIGIN includes 5175"
Sprint 9,Storefront,Public API,Public catalog + checkout endpoints,Done,Verified (curl + build + lint),Critical,Done,"backend modules/storefront (all @Public): GET /storefront/products (ACTIVE-only, paginate/search/sort), GET /storefront/products/:slug, POST /storefront/checkout (resolves prices server-side, calls OrdersService.create)"
